,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Place Info,Retweets,Favorites,Language,Source
28,Ahora hay 3 Pokémon Ocultos? Donde estaban los Dibujos 👀 https://t.co/OatYitJo8c,2021-09-17 04:46:08,1438725939903479808,catillo596,,1,1,es,Twitter for Android
29,"@Meztliii ¡increíble!  !!  ¡muy agradable!  !!  ¡Celoso!  !!  Todavía solo tengo a Uxie en un color diferente, ¡así que quiero que otros Pokémon salgan en diferentes colores!",2021-09-17 04:46:08,1438725936388591618,sin1621,日本 東京,0,1,es,Twitter for iPhone
30,"@koo_rneta @only_daiki_ PERO HALIEL, OYE NL TE HE CONTADO MIS TRAUMAS CHAO, help entrenador pokemon AMDKKAKSJAJ",2021-09-17 04:45:37,1438725809028620290,yoongomitas,he|him  . . .  i ♡ you ?,0,0,es,Twitter for Android
31,"@IAmBlueDaBaDee Al menos, en caso de que yo falte, tendrás dos aliados que te ayudarán si hace falta.
Mañana cuando tengas ese pokémon no dudes en llamarme para que te acompañe. Ahora lo mejor que podemos hacer es ir a descansar al centro pokémon o, bueno, tu puedes ir a casa... ¿Te acordarás +",2021-09-17 04:45:36,1438725804758867968,PkFlames7,#PKED,0,0,es,Twitter for Android
32,"#Pokemon #PokemonTCG 
Durant revelado!
Ataque [C][C][C]70: se o Pokémon ativo do oponente for um Pokémon [R] (do tipo fogo), ele agora está paralizado. https://t.co/2qDyyMxalq",2021-09-17 04:45:14,1438725710496079872,iodetto,,0,0,es,Twitter Web App
33,"@LaSociedab jsjsjjsjs no te voy a mentir, yo si tuviera le meteria solo por el jueguito, tiene pinta de funcar bien pero ni idea yo quiero jugaaaaaaar unu es practicamente el juego de pokemon mas caro uwu",2021-09-17 04:45:06,1438725679286300674,elruhax,"Pilar, Argentina",0,0,es,Twitter Web App
34,"Ataque2 [D]60+: se o Pokémon ativo do oponente já possuir marcador de dano, este ataque causa 90 de dano extra.",2021-09-17 04:44:03,1438725411760914435,iodetto,,0,0,es,Twitter Web App
35,"@IAmBlueDaBaDee Tocado cuidar de ellas por un capricho del destino–.

El primero siempre es especial, es quien te acompañará para siempre, al menos casi seguro. Como tú mano derecha.

Y sobre la captura, puedes contar con ello. Recuerda traer pokeball y pillaremos un gran pokémon para ti. Así +",2021-09-17 04:43:46,1438725341862825985,PkFlames7,#PKED,0,0,es,Twitter for Android
36,RT @gen_ghibli: 🎨 #Pokémon y Studio Ghibli se fusionan en este espectacular arte: https://t.co/E3BunIrrdZ vía @Areajugones ✨ https://t.co/b…,2021-09-17 04:43:44,1438725333331501063,MendozaHibraim,Monterrey,27,0,es,Twitter for iPhone
37,@lu_lenmc Porque me hago adicto a los combates y a la vez me da coraje que siempre me toquen con pokemon que son eficaces contra los mios y pues término enojado jajajaja 😒,2021-09-17 04:43:06,1438725172622659587,iSergioDiaz,"Sinaloa, México",0,0,es,Twitter for Android
38,#Pokemon ¿A quién os recuerda este Pokémon? https://t.co/I6kef5XVse,2021-09-17 04:42:58,1438725140951535617,zeo_go,,0,0,es,Twitter for Android
39,@Lobito_rosado JAJAJAJ comprado y depaso una tarjeta de pokemon con poderes para que quede mas mamalon la oferta,2021-09-17 04:42:26,1438725007056723970,34Nocturno,,0,0,es,Twitter Web App
40,"RT @CNNEE: La Agencia Nacional de Ciencia de Australia nombró a una especie de mosca en honor a RuPaul, famoso por sus concursos de televis…",2021-09-17 04:42:22,1438724990430482432,BaezManuok,"Asunción, Paraguay 🔥",20,0,es,Twitter for Android
41,RT @Eric_Lostie: Cuando le enseñas tu fangame de Pokémon que tiene 2 regiones. https://t.co/bDacbsyEXv,2021-09-17 04:42:15,1438724959501787137,bryan24352,,19,0,es,Twitter for Android
42,"@yoongomitas @only_daiki_ Por mis propios traumas suelo adoptar gente con más traumas para cuidarlos, soy un entrenador pokemon JAJAJA",2021-09-17 04:42:14,1438724957647867911,koo_rneta,피 땀 눈물🏳️‍⚧️he/him __16 ,0,0,es,Twitter for iPhone
43,Pokémon consignativo,2021-09-17 04:42:14,1438724957207416836,PkmnPredict,Sinnoh,0,0,es,PokemonPredict
44,"RT @_Jerryl1: Abro hilo sobre los Pokémon basados en México
Opening thread from Mexico-themed Pokémon

#Ludicolo: El Pokémon Optimista/Care…",2021-09-17 04:41:31,1438724775770214400,Juan_Cgz7,México,66,0,es,Twitter for Android
45,"#Pokemon #PokemonTCG 
Steelix revelado!
Ataque1 [C][C]20x: este ataque causa 20 de dano para cada marcador de dano neste Pokémon.

Ataque2 [F][F][C]180: este ataque causa 30 de dano a cada Pokémon no seu banco. https://t.co/grbgUlODcP",2021-09-17 04:41:22,1438724736553455621,iodetto,,0,0,es,Twitter Web App
46,"¿Con qué juego estrenasteis vuestras Nintendo? 

GBC: Pokémon Rojo
Nintendo 64: Pokémon Stadium
GBA: Pokémon Rojo Fuego 
NDS: Mario Kart DS
3DS: Pokémon Luna 
Wii: Super Smash Bros. Brawl
Switch: Fire Emblem Three Houses https://t.co/On3bMVToy6",2021-09-17 04:40:45,1438724582584856576,OhTheFracking_,Bilbao,0,0,es,Twitter for Android
47,@NibyMPP Todos idiotas ellos. Los edgy están matando a los diseñadores de Pokémon.,2021-09-17 04:40:23,1438724488988971010,ProfesorUnown,,0,0,es,Twitter for Android
48,"RT @CentroPokemon: Pokémon disfrazados para el evento de la Semana de la Moda de Pokémon GO y más cosas para Halloween, extraídos de los da…",2021-09-17 04:40:19,1438724473948082177,Josepsm14,,18,0,es,Twitter for iPhone
49,"RT @CentroPokemon: Video del 5° aniversario de Pokémon GO. ""¡Las aventuras continúan!"". https://t.co/fhD7DO6oxK",2021-09-17 04:40:09,1438724430574891011,Josepsm14,,68,0,es,Twitter for iPhone
50,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:40:08,1438724428335046656,caaldeeroon1405,,357,0,es,Twitter for Android
51,"RT @CentroPokemon: Un nuevo ending se estrenará en el episodio de Viajes Pokémon que se transmitirá en unas horas.

Contará con la particip…",2021-09-17 04:40:00,1438724395590115328,Josepsm14,,13,0,es,Twitter for iPhone
52,@Kelverus Y ese Pokémon de dónde salió 🤣,2021-09-17 04:39:54,1438724369807773698,Yofua3,,0,0,es,Twitter for Android
53,"#Pokemon #PokemonTCG 
Golem revelado!
Habilidade: se este Pokémon for nocauteado pelo dano de um ataque do oponente, coloque 10 marcadores de dano no Pokémon atacante.

Ataque [F][C][C]160: este Pokémon causa 30 de dano a si. https://t.co/ZtN11mIPsL",2021-09-17 04:39:53,1438724364963352576,iodetto,,0,0,es,Twitter Web App
54,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:39:42,1438724317861355520,jokaislayer,,357,0,es,Twitter for Android
55,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:39:17,1438724214324965382,javicortecero,"Villacañas, España",357,0,es,Twitter for Android
56,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:38:16,1438723957406961668,erickcrizz,,357,0,es,Twitter Web App
57,"RT @CentroPokemon: Video del 5° aniversario de Pokémon GO. ""¡Las aventuras continúan!"". https://t.co/fhD7DO6oxK",2021-09-17 04:37:44,1438723821981347841,MniJenny1,,68,0,es,Twitter for Android
58,"Siempre quise profundizar en este pero no se aaaaaa
Es una de mis ideas favoritaa y si me gustaria hacerle mas cositas 👉👈💞💟💓💖💞
#Pokemon https://t.co/z7x4CujL4Y",2021-09-17 04:36:55,1438723616598757380,duraznogordo,🍄𝕀𝕟 𝕥𝕙𝕖 𝕘𝕒𝕣𝕕𝕖𝕟🍄,0,0,es,Twitter for Android
59,"RT @CentroPokemon: Video del 5° aniversario de Pokémon GO. ""¡Las aventuras continúan!"". https://t.co/fhD7DO6oxK",2021-09-17 04:36:52,1438723604091445249,MrAlejandros,"San Salvador, El Salvador",68,0,es,Twitter for iPhone
60,• Pokémon X &amp; Y (145 episódios) ✅ https://t.co/53p2VkKvx5,2021-09-17 04:36:07,1438723415431581700,panchamdeoculos,"Recife, Brasil",0,1,es,Twitter for Android
61,@34Nocturno A 1 tazo de pokemon JAJAJAJA,2021-09-17 04:35:44,1438723322729177088,Lobito_rosado,♡• Mexico / 16 / Girl •♡,0,1,es,Twitter for Android
62,"RT @_Jerryl1: #Archeops El Pokémon Protopájaro/First Bird Pokémon

Asemeja a un ave y reptil primitivos y esta basado en las serpientes emp…",2021-09-17 04:35:17,1438723206328639490,NeORaDiKaL,"Ciudad Obregón, Sonora, México",4,0,es,Twitter for iPhone
63,RT @noivyyy: Creo que @SekiamPKM descubrió un nuevo pokemon jajajaja un tatuaje de Tazanás 🔥 https://t.co/BadiChPqNO,2021-09-17 04:35:16,1438723203141099521,vGaiCo_,"North Olmsted, OH",2,0,es,Twitter for iPhone
64,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:34:43,1438723066671030273,TheLegendOfMel,La Calle de la Amargura.,357,0,es,Twitter for Android
65,"RT @_Jerryl1: #Maractus El Pokémon Cactus/Cactus Pokémon 

Su etimología proviene de Maracas, Cactus y Mariachi, suele vivir en regiones ár…",2021-09-17 04:34:29,1438723006004547584,NeORaDiKaL,"Ciudad Obregón, Sonora, México",3,0,es,Twitter for iPhone
66,"RT @_Jerryl1: #Hawlucha El Pokémon Luchador/Wrestling Pokémon 

Basado en la lucha libre mexicana, tiene como movimiento característico la…",2021-09-17 04:34:05,1438722906461065224,NeORaDiKaL,"Ciudad Obregón, Sonora, México",3,0,es,Twitter for iPhone
67,@NibyMPP Te interesaría formar parte de un Fangame de Pokémon que estoy haciendo con unos amigos?,2021-09-17 04:34:03,1438722896927547395,TortaDeHuron,,0,0,es,Twitter for Android
68,"RT @_Jerryl1: Abro hilo sobre los Pokémon basados en México
Opening thread from Mexico-themed Pokémon

#Ludicolo: El Pokémon Optimista/Care…",2021-09-17 04:33:52,1438722850026770432,NeORaDiKaL,"Ciudad Obregón, Sonora, México",66,0,es,Twitter for iPhone
69,"RT @Straruberry: 🧁🌸POKÉMON BABYS STICKERS🌸🧁

~ Cleffa, Igglybuff &amp; Happiny ~

Llega una nueva tanda de pegatinas Pokémon, esta vez de la ma…",2021-09-17 04:33:41,1438722803126214657,Straruberry,,45,0,es,Twitter for Android
70,#nochedeconfesiones pokemon ponemon pokemon ahora yo quiero ser el maximooo de todos el mejor el mejor,2021-09-17 04:33:11,1438722678890827777,lovsminho_,SHE/HER,0,0,es,Twitter for Android
71,"#Pokemon #PokemonTCG 
Accelgor (e Shelmet) revelados!

Ataque1 [G][C][C]120: se este Pokémon se tornou o ativo durante este turno, este ataque poderá ser usado por [G]. https://t.co/hXdQ2FDRqe",2021-09-17 04:33:04,1438722649270759432,iodetto,,0,0,es,Twitter Web App
72,Solo para verdaderos maestros pokemon. 🤣 https://t.co/FI7kcVr6o2,2021-09-17 04:32:06,1438722407469096962,Ostorga_9, El Salvador ,0,0,es,Twitter for Android
73,POKEMON TCG ONLINE¡¡¡ CONQUISTANDO NUEVO VERSUS 1.2 XD https://t.co/AgGxxBXxcl a través de @YouTube,2021-09-17 04:31:18,1438722203563044867,Rigober32329475,Mexico,0,0,es,Twitter Web App
74,@LaSociedab Pregúntele a @Reventxz qué dejó el tft por jugar ese Pokémon pocho! Y no es por plata 😂,2021-09-17 04:30:15,1438721940760449024,FrankEValverde6,Costa Rica,0,2,es,Twitter for iPhone
75,Me he dejado la Nintendo 3DS: Pokémon Y,2021-09-17 04:28:37,1438721529269915648,LauSanMiaw,Snowdin Town,0,0,es,Twitter for Android
76,"@engel_go Hay un pequeño error aqui, el pokemon que va aparecer en la region del continente Americano apunta hacia los estados unidos y como erroneamente llaman America a los estados unidos van a pensar que solamente van aparecer en ese paid",2021-09-17 04:27:15,1438721184388976642,Lynx_Eye,,0,1,es,Twitter Web App
77,RT @PokemonTyrann: ¿Tus Pokémon han resultado heridos? 😥 ¿Por qué no vienes el Centro Pokémon? La enfermera estará encantada de devolverle…,2021-09-17 04:27:08,1438721155754512387,Edstereo9,~En algún lado~,22,0,es,Twitter Web App
78,RT @pokexperto: Vídeo promocional del 5 Aniversario de Pokémon GO https://t.co/e9tqkLPBfq,2021-09-17 04:26:57,1438721109604585474,_Zuzud,"El Salvador, Centro América",44,0,es,Twitter for iPhone
79,RT @NanekoNya: Tengo que hacer las diarias del Genshin y cositas de Pokémon go pero acá estoy sentada en la esquina pensando cómo fui tan g…,2021-09-17 04:26:55,1438721100972703746,Lujn73683690,,1,0,es,Twitter for Android
80,"@luisa_ferr_ La cancion era muy buena, ese pokemon Johto me lleno de emocion porque dije mas nombres que aprenderde y mas tasos que colectar. Que recuerdos.",2021-09-17 04:26:53,1438721092990881794,LuisamFist,,0,0,es,Twitter for Android
81,"RT @Angel_Salom25: ₡ Busco mutuals(/^-^(^ ^*)/

₲Soy nuevo en #Anitwt #TokyoRevengers espero interactuar con ustedes,último tweet de hoy pq…",2021-09-17 04:26:51,1438721084094763011,kazuthoraz,19↑ || they/them,2,0,es,Twitter for Android
82,"RT @Elesky25: Pokémon Rubí/Zafiro/Esmeralda medley 💚

Espero que os guste 😊 https://t.co/QIa5Dz8bwX",2021-09-17 04:26:10,1438720915068624897,Anniekilladora,"Santa Cruz de Tenerife, España",357,0,es,Twitter for Android
83,Volví a instalar pokemon go y recordé porqué lo había desinstalado 😬,2021-09-17 04:24:49,1438720573434122245,iSergioDiaz,"Sinaloa, México",0,0,es,Twitter for Android
84,"RT @Angel_Salom25: ₡ Busco mutuals(/^-^(^ ^*)/

₲Soy nuevo en #Anitwt #TokyoRevengers espero interactuar con ustedes,último tweet de hoy pq…",2021-09-17 04:24:16,1438720433650552841,mewtwo_bot,worldwide,2,0,es,poke app
85,"₡ Busco mutuals(/^-^(^ ^*)/

₲Soy nuevo en #Anitwt #TokyoRevengers espero interactuar con ustedes,último tweet de hoy pq tengo sueño.

~Naruto
€Tokyo Ghoul
•Tokyo Revengers
=Pokémon 
₲Shingeki No Kyojin 
πHaikyuu.",2021-09-17 04:23:50,1438720324468723712,Angel_Salom25,"Barquisimeto, Venezuela",2,6,es,Twitter for Android
86,RT @pokexperto: Vídeo promocional del 5 Aniversario de Pokémon GO https://t.co/e9tqkLPBfq,2021-09-17 04:23:41,1438720288091410432,niko_benitez666,"Posadas, Argentina",44,0,es,Twitter for Android
87,"@DanielGmezRoja1 Cada Pokémon tiene un 1% de ser shiny, es una probabilidad altísima xD estaba teniendo mucha mala suerte",2021-09-17 04:23:18,1438720192935170054,pollomarinela,"Sinaloa, México",0,1,es,Twitter for Android
88,RT @Supernova_Alex: Aun habrá gente que lo compare con Pokemon,2021-09-17 04:23:04,1438720133111984130,cucuhola1,,3,0,es,Twitter Web App
89,RT @CentroPokemon: Ya están empezando a llegar las Oreo de Pokémon 🔥 https://t.co/xncUjEadjo,2021-09-17 04:22:38,1438720025322475525,Snivy_JCG,,137,0,es,Twitter for Android
90,"RT @TalesofLaura: ✨Soy una cuenta nueva y busco mutuals para interactuar✨

- Pokémon 
- Stardew Valley
- Animal Crossing
- Tales of
- Fire…",2021-09-17 04:21:45,1438719800944087049,loveldominican,somewhere in paradise ,87,0,es,Twitter for iPhone
91,Finalmente otro Pokémon a nivel 50! Pidgeot shiny listo para GBL 2500 https://t.co/TRe6f7Ftym,2021-09-17 04:21:42,1438719788633624584,JosseMars,l MéxicoDF l Distrito 9 y 3/4,0,1,es,Twitter for Android
92,"RT @Hey_Im_Rena: Soy tan poco sospechosa
Anyways, anoche fue divertido &lt;3
#Art #DigitalArt #Sketch #Pokemon https://t.co/Mdh6rbI9kZ",2021-09-17 04:21:35,1438719757952368648,ArtinandWritin,,8,0,es,Twitter for Android
93,"Nota a mi hermana:

Me has dado el mismo regalo 2 años seguidos y en Navidad, igual, Así que aquí hay varias cosas que también me gustan:

-Pokemon
-Cirque du soleil
-Lego (de Harry potter) 
-Nintendo
-La India Maria 
-Assassins Creed
-NADA",2021-09-17 04:21:24,1438719715208142849,Rag_de,México,0,1,es,Twitter for Android
94,@lareynam_ Utaaa mamasita y con eso de que se creen maestros del pokemon. No dudes! 😂,2021-09-17 04:18:28,1438718977081896963,paodelgch_,,0,1,es,Twitter for iPhone
